cve,cvss_score,severity,severity_num,port,service,is_public,has_exploit,in_cisa_kev,in_exploitdb,attackVector,attackComplexity,privilegesRequired,userInteraction,gold_risk_score,source
CVE-2010-4039,9.8,CRITICAL,4,0,unknown,0,1,0,0,NETWORK,LOW,NONE,NONE,10.0,NVD
CVE-2010-4041,9.8,CRITICAL,4,0,unknown,0,1,0,0,NETWORK,LOW,NONE,NONE,10.0,NVD
CVE-2010-4042,9.8,CRITICAL,4,0,unknown,0,1,0,0,NETWORK,LOW,NONE,NONE,10.0,NVD
CVE-2010-2941,9.8,CRITICAL,4,0,unknown,0,1,0,0,NETWORK,LOW,NONE,NONE,10.0,NVD
CVE-2010-4197,9.8,CRITICAL,4,0,unknown,0,1,0,0,NETWORK,LOW,NONE,NONE,10.0,NVD
CVE-2010-4201,9.8,CRITICAL,4,0,unknown,0,1,0,0,NETWORK,LOW,NONE,NONE,10.0,NVD
CVE-2010-4202,9.8,CRITICAL,4,0,unknown,0,1,0,0,NETWORK,LOW,NONE,NONE,10.0,NVD
CVE-2010-4203,9.8,CRITICAL,4,0,unknown,0,1,0,0,NETWORK,LOW,NONE,NONE,10.0,NVD
CVE-2010-4204,9.8,CRITICAL,4,0,unknown,0,1,0,0,NETWORK,LOW,NONE,NONE,10.0,NVD
CVE-2010-4205,9.8,CRITICAL,4,0,unknown,0,1,0,0,NETWORK,LOW,NONE,NONE,10.0,NVD
CVE-2010-1378,9.8,CRITICAL,4,0,unknown,0,1,0,0,NETWORK,LOW,NONE,NONE,10.0,NVD
CVE-2010-4344,9.8,CRITICAL,4,0,unknown,0,1,1,1,NETWORK,LOW,NONE,NONE,10.0,NVD+CISA_KEV+ExploitDB
CVE-2011-1889,9.8,CRITICAL,4,0,unknown,0,1,1,0,NETWORK,LOW,NONE,NONE,10.0,NVD+CISA_KEV
CVE-2011-3544,9.8,CRITICAL,4,1521,jdk,0,1,1,1,NETWORK,LOW,NONE,NONE,10.0,NVD+CISA_KEV+ExploitDB
CVE-2011-2462,9.8,CRITICAL,4,0,unknown,0,1,1,1,NETWORK,LOW,NONE,NONE,10.0,NVD+CISA_KEV+ExploitDB
CVE-2011-4372,9.8,CRITICAL,4,0,unknown,0,1,0,0,NETWORK,LOW,NONE,NONE,10.0,NVD
CVE-2011-4373,9.8,CRITICAL,4,0,unknown,0,1,0,0,NETWORK,LOW,NONE,NONE,10.0,NVD
CVE-2012-0931,9.8,CRITICAL,4,0,unknown,0,1,0,0,NETWORK,LOW,NONE,NONE,10.0,NVD
CVE-2012-1710,9.8,CRITICAL,4,1521,fusion_middleware,0,1,1,0,NETWORK,LOW,NONE,NONE,10.0,NVD+CISA_KEV
CVE-2012-1516,9.9,CRITICAL,4,0,unknown,0,0,0,0,NETWORK,LOW,LOW,NONE,9.9,NVD
CVE-2012-1823,9.8,CRITICAL,4,0,unknown,0,1,1,1,NETWORK,LOW,NONE,NONE,10.0,NVD+CISA_KEV+ExploitDB
CVE-2012-2926,9.1,CRITICAL,4,0,unknown,0,1,0,1,NETWORK,LOW,NONE,NONE,10.0,NVD+ExploitDB
CVE-2011-3188,9.1,CRITICAL,4,0,unknown,0,1,0,0,NETWORK,LOW,NONE,NONE,10.0,NVD
CVE-2012-1723,9.8,CRITICAL,4,1521,jdk,0,1,1,1,NETWORK,LOW,NONE,NONE,10.0,NVD+CISA_KEV+ExploitDB
CVE-2012-0911,9.8,CRITICAL,4,0,unknown,0,1,0,1,NETWORK,LOW,NONE,NONE,10.0,NVD+ExploitDB
CVE-2012-3503,9.8,CRITICAL,4,0,unknown,0,1,0,0,NETWORK,LOW,NONE,NONE,10.0,NVD
CVE-2012-5376,9.6,CRITICAL,4,0,unknown,0,1,0,0,NETWORK,LOW,NONE,REQUIRED,10.0,NVD
CVE-2012-3152,9.1,CRITICAL,4,1521,fusion_middleware,0,1,1,1,NETWORK,LOW,NONE,NONE,10.0,NVD+CISA_KEV+ExploitDB
CVE-2012-4406,9.8,CRITICAL,4,0,unknown,0,1,0,0,NETWORK,LOW,NONE,NONE,10.0,NVD
CVE-2012-2239,9.1,CRITICAL,4,0,unknown,0,1,0,0,NETWORK,LOW,NONE,NONE,10.0,NVD
CVE-2013-0625,9.8,CRITICAL,4,0,unknown,0,1,1,1,NETWORK,LOW,NONE,NONE,10.0,NVD+CISA_KEV+ExploitDB
CVE-2013-0632,9.8,CRITICAL,4,0,unknown,0,1,1,1,NETWORK,LOW,NONE,NONE,10.0,NVD+CISA_KEV+ExploitDB
CVE-2013-1591,9.8,CRITICAL,4,0,unknown,0,1,0,0,NETWORK,LOW,NONE,NONE,10.0,NVD
CVE-2013-1465,9.8,CRITICAL,4,0,unknown,0,1,0,1,NETWORK,LOW,NONE,NONE,10.0,NVD+ExploitDB
CVE-2012-3363,9.1,CRITICAL,4,0,unknown,0,1,0,1,NETWORK,LOW,NONE,NONE,10.0,NVD+ExploitDB
CVE-2013-2729,9.8,CRITICAL,4,0,unknown,0,1,1,1,NETWORK,LOW,NONE,NONE,10.0,NVD+CISA_KEV+ExploitDB
CVE-2011-1180,9.8,CRITICAL,4,0,unknown,0,1,0,0,NETWORK,LOW,NONE,NONE,10.0,NVD
CVE-2013-2251,9.8,CRITICAL,4,80,archiva,1,1,1,1,NETWORK,LOW,NONE,NONE,10.0,NVD+CISA_KEV+ExploitDB
CVE-2013-3346,9.8,CRITICAL,4,0,unknown,0,1,1,1,NETWORK,LOW,NONE,NONE,10.0,NVD+CISA_KEV+ExploitDB
CVE-2013-4810,9.8,CRITICAL,4,0,unknown,0,1,1,1,NETWORK,LOW,NONE,NONE,10.0,NVD+CISA_KEV+ExploitDB
CVE-2013-6014,9.3,CRITICAL,4,0,unknown,0,0,0,0,ADJACENT_NETWORK,LOW,NONE,NONE,9.3,NVD
CVE-2013-5609,9.8,CRITICAL,4,0,unknown,0,1,0,0,NETWORK,LOW,NONE,NONE,10.0,NVD
CVE-2013-5613,9.8,CRITICAL,4,0,unknown,0,1,0,0,NETWORK,LOW,NONE,NONE,10.0,NVD
CVE-2013-5615,9.8,CRITICAL,4,0,unknown,0,1,0,0,NETWORK,LOW,NONE,NONE,10.0,NVD
CVE-2013-5616,9.8,CRITICAL,4,0,unknown,0,1,0,0,NETWORK,LOW,NONE,NONE,10.0,NVD
CVE-2013-5618,9.8,CRITICAL,4,0,unknown,0,1,0,0,NETWORK,LOW,NONE,NONE,10.0,NVD
CVE-2013-6671,9.8,CRITICAL,4,0,unknown,0,1,0,0,NETWORK,LOW,NONE,NONE,10.0,NVD
CVE-2013-7137,9.8,CRITICAL,4,0,unknown,0,1,0,1,NETWORK,LOW,NONE,NONE,10.0,NVD+ExploitDB
CVE-2014-0497,9.8,CRITICAL,4,0,unknown,0,1,1,1,NETWORK,LOW,NONE,NONE,10.0,NVD+CISA_KEV+ExploitDB
CVE-2014-1477,9.8,CRITICAL,4,0,unknown,0,1,0,0,NETWORK,LOW,NONE,NONE,10.0,NVD
CVE-2014-1486,9.8,CRITICAL,4,0,unknown,0,1,0,0,NETWORK,LOW,NONE,NONE,10.0,NVD
CVE-2014-2323,9.8,CRITICAL,4,80,lighttpd,1,1,0,0,NETWORK,LOW,NONE,NONE,10.0,NVD
CVE-2014-1493,9.8,CRITICAL,4,0,unknown,0,1,0,0,NETWORK,LOW,NONE,NONE,10.0,NVD
CVE-2014-1508,9.1,CRITICAL,4,0,unknown,0,1,0,0,NETWORK,LOW,NONE,NONE,10.0,NVD
CVE-2014-1510,9.8,CRITICAL,4,0,unknown,0,1,0,1,NETWORK,LOW,NONE,NONE,10.0,NVD+ExploitDB
CVE-2014-1511,9.8,CRITICAL,4,0,unknown,0,1,0,1,NETWORK,LOW,NONE,NONE,10.0,NVD+ExploitDB
CVE-2014-1514,9.8,CRITICAL,4,0,unknown,0,1,0,0,NETWORK,LOW,NONE,NONE,10.0,NVD
CVE-2014-0780,9.8,CRITICAL,4,0,unknown,0,1,1,1,NETWORK,LOW,NONE,NONE,10.0,NVD+CISA_KEV+ExploitDB
CVE-2014-1776,9.8,CRITICAL,4,0,unknown,0,1,1,0,NETWORK,LOW,NONE,NONE,10.0,NVD+CISA_KEV
CVE-2014-1524,9.8,CRITICAL,4,0,unknown,0,1,0,0,NETWORK,LOW,NONE,NONE,10.0,NVD
CVE-2014-1532,9.8,CRITICAL,4,0,unknown,0,1,0,0,NETWORK,LOW,NONE,NONE,10.0,NVD
CVE-2013-5017,9.8,CRITICAL,4,0,unknown,0,1,0,0,NETWORK,LOW,NONE,NONE,10.0,NVD
CVE-2014-0546,9.8,CRITICAL,4,0,unknown,0,1,1,0,NETWORK,LOW,NONE,NONE,10.0,NVD+CISA_KEV
CVE-2014-6271,9.8,CRITICAL,4,1521,linux,0,1,1,1,NETWORK,LOW,NONE,NONE,10.0,NVD+CISA_KEV+ExploitDB
CVE-2014-7169,9.8,CRITICAL,4,1521,linux,0,1,1,1,NETWORK,LOW,NONE,NONE,10.0,NVD+CISA_KEV+ExploitDB
CVE-2014-6287,9.8,CRITICAL,4,80,http_file_server,1,1,1,1,NETWORK,LOW,NONE,NONE,10.0,NVD+CISA_KEV+ExploitDB
CVE-2015-0311,9.8,CRITICAL,4,0,unknown,0,1,1,1,NETWORK,LOW,NONE,NONE,10.0,NVD+CISA_KEV+ExploitDB
CVE-2015-0313,9.8,CRITICAL,4,0,unknown,0,1,1,1,NETWORK,LOW,NONE,NONE,10.0,NVD+CISA_KEV+ExploitDB
CVE-2015-1427,9.8,CRITICAL,4,9200,elasticsearch,0,1,1,1,NETWORK,LOW,NONE,NONE,10.0,NVD+CISA_KEV+ExploitDB
CVE-2015-2051,9.8,CRITICAL,4,0,unknown,0,1,1,1,NETWORK,LOW,NONE,NONE,10.0,NVD+CISA_KEV+ExploitDB
CVE-2015-3043,9.8,CRITICAL,4,0,unknown,0,1,1,1,NETWORK,LOW,NONE,NONE,10.0,NVD+CISA_KEV+ExploitDB
CVE-2014-8361,9.8,CRITICAL,4,0,unknown,0,1,1,1,NETWORK,LOW,NONE,NONE,10.0,NVD+CISA_KEV+ExploitDB
CVE-2015-4068,9.1,CRITICAL,4,0,unknown,0,1,1,0,NETWORK,LOW,NONE,NONE,10.0,NVD+CISA_KEV
CVE-2015-3113,9.8,CRITICAL,4,0,unknown,0,1,1,1,NETWORK,LOW,NONE,NONE,10.0,NVD+CISA_KEV+ExploitDB
CVE-2015-5119,9.8,CRITICAL,4,0,unknown,0,1,1,1,NETWORK,LOW,NONE,NONE,10.0,NVD+CISA_KEV+ExploitDB
CVE-2015-5122,9.8,CRITICAL,4,0,unknown,0,1,1,1,NETWORK,LOW,NONE,NONE,10.0,NVD+CISA_KEV+ExploitDB
CVE-2015-5123,9.8,CRITICAL,4,0,unknown,0,1,1,0,NETWORK,LOW,NONE,NONE,10.0,NVD+CISA_KEV
CVE-2015-2590,9.8,CRITICAL,4,1521,jdk,0,1,1,0,NETWORK,LOW,NONE,NONE,10.0,NVD+CISA_KEV
CVE-2015-1276,9.8,CRITICAL,4,0,unknown,0,1,0,0,NETWORK,LOW,NONE,NONE,10.0,NVD
CVE-2015-3253,9.8,CRITICAL,4,80,groovy,1,1,0,0,NETWORK,LOW,NONE,NONE,10.0,NVD
CVE-2015-0537,9.8,CRITICAL,4,443,bsafe_ssl-c,1,1,0,0,NETWORK,LOW,NONE,NONE,10.0,NVD
CVE-2015-7182,9.8,CRITICAL,4,1521,traffic_director,0,1,0,0,NETWORK,LOW,NONE,NONE,10.0,NVD
CVE-2015-4852,9.8,CRITICAL,4,1521,virtual_desktop_infrastructure,0,1,1,1,NETWORK,LOW,NONE,NONE,10.0,NVD+CISA_KEV+ExploitDB
CVE-2015-8103,9.8,CRITICAL,4,0,unknown,0,1,0,1,NETWORK,LOW,NONE,NONE,10.0,NVD+ExploitDB
CVE-2015-8383,9.8,CRITICAL,4,0,unknown,0,1,0,0,NETWORK,LOW,NONE,NONE,10.0,NVD
CVE-2015-8386,9.8,CRITICAL,4,1521,linux,0,1,0,0,NETWORK,LOW,NONE,NONE,10.0,NVD
CVE-2015-8389,9.8,CRITICAL,4,0,unknown,0,1,0,0,NETWORK,LOW,NONE,NONE,10.0,NVD
CVE-2015-8390,9.8,CRITICAL,4,0,unknown,0,1,0,0,NETWORK,LOW,NONE,NONE,10.0,NVD
CVE-2015-8391,9.8,CRITICAL,4,1521,linux,0,1,0,0,NETWORK,LOW,NONE,NONE,10.0,NVD
CVE-2015-8394,9.8,CRITICAL,4,0,unknown,0,1,0,0,NETWORK,LOW,NONE,NONE,10.0,NVD
CVE-2015-6764,9.8,CRITICAL,4,0,unknown,0,1,0,0,NETWORK,LOW,NONE,NONE,10.0,NVD
CVE-2015-6420,9.8,CRITICAL,4,80,commons_collections,1,1,0,0,NETWORK,LOW,NONE,NONE,10.0,NVD
CVE-2015-7919,10.0,CRITICAL,4,0,unknown,0,1,0,0,NETWORK,LOW,NONE,NONE,10.0,NVD
CVE-2015-7911,9.1,CRITICAL,4,0,unknown,0,1,0,0,NETWORK,LOW,NONE,NONE,10.0,NVD
CVE-2015-7926,9.9,CRITICAL,4,0,unknown,0,0,0,0,NETWORK,LOW,LOW,NONE,9.9,NVD
CVE-2015-8267,10.0,CRITICAL,4,0,unknown,0,1,0,0,NETWORK,LOW,NONE,NONE,10.0,NVD
CVE-2015-7930,10.0,CRITICAL,4,0,unknown,0,1,0,0,NETWORK,LOW,NONE,NONE,10.0,NVD
CVE-2015-6792,9.8,CRITICAL,4,0,unknown,0,1,0,0,NETWORK,LOW,NONE,NONE,10.0,NVD
CVE-2015-6537,9.8,CRITICAL,4,0,unknown,0,1,0,0,NETWORK,LOW,NONE,NONE,10.0,NVD
CVE-2015-6538,9.8,CRITICAL,4,0,unknown,0,1,0,0,NETWORK,LOW,NONE,NONE,10.0,NVD
CVE-2015-8459,10.0,CRITICAL,4,0,unknown,0,1,0,0,NETWORK,LOW,NONE,NONE,10.0,NVD
CVE-2015-7251,9.8,CRITICAL,4,0,unknown,0,1,0,1,NETWORK,LOW,NONE,NONE,10.0,NVD+ExploitDB
CVE-2015-7792,9.8,CRITICAL,4,0,unknown,0,1,0,0,NETWORK,LOW,NONE,NONE,10.0,NVD
CVE-2015-2874,9.8,CRITICAL,4,0,unknown,0,1,0,0,NETWORK,LOW,NONE,NONE,10.0,NVD
CVE-2015-5995,9.8,CRITICAL,4,0,unknown,0,1,0,1,NETWORK,LOW,NONE,NONE,10.0,NVD+ExploitDB
